present_order,cell_id,lexeme,diagnostic,stratum
1,7632,cosy,very_mod,adjective
2,1612,somewhat,right_mod,determinative
3,2169,from,attributive,preposition
4,3507,owing,inflectional_comparison,preposition
5,6660,new,predeterminer_position,adjective
6,1717,this,determiner_function,determinative
7,5361,downstream,attributive,preposition
8,6018,seaward,ness_nominalization,preposition
9,2022,eleven,enough_preposed,determinative
10,11704,rap,un_prefix,blind
11,11688,rap,very_mod,blind
12,9306,neolithic,ness_nominalization,adjective
13,1967,zero,stranding,determinative
14,11375,kurdish,stranding,adjective
15,3468,following,predeterminer_position,preposition
16,6158,public,fused_head,adjective
17,11630,theme,fused_head,blind
18,6377,french,ly_adverb_base,adjective
19,2267,with,postpositive,preposition
20,6424,small,un_prefix,adjective
21,9828,ah-ah,predeterminer_position,adjective
22,3609,saving,attributive,preposition
23,6152,public,gerund_gap_complement,adjective
24,12708,curve,predeterminer_position,blind
25,5133,hence,coordination_with_adj,preposition
26,8902,pedestrian,fronting_pp,adjective
27,8893,pedestrian,determiner_function,adjective
28,12231,protecting,partitive_of,blind
29,5467,upstairs,seem_complement,preposition
30,393,a,attributive,determinative
31,7748,invisible,become_complement,adjective
32,6725,short,enough_postposed,adjective
33,2890,off,predicative_be,preposition
34,2570,before,comparative_more,preposition
35,11609,introduce,ly_adverb_base,blind
36,5274,west,ness_nominalization,preposition
37,1204,none,right_mod,determinative
38,11228,clandestine,become_complement,adjective
39,11853,gilt,coordination_with_adj,blind
40,3626,touching,comparative_more,preposition
41,12282,toad,ness_nominalization,blind
42,10080,endothermic,very_mod,adjective
43,5018,whereabouts,comparative_more,preposition
44,11833,gilt,too_mod,blind
45,10224,centrist,very_mod,adjective
46,3884,now,become_complement,preposition
47,10919,errant,stranding,adjective
48,6677,wrong,enough_postposed,adjective
49,7173,open,coordination_with_adj,adjective
50,6079,upward,np_complement,preposition
51,3182,underneath,fused_head,preposition
52,3792,seeing,very_mod,preposition
53,1069,most,determiner_function,determinative
54,5933,onward,enough_postposed,preposition
55,7974,significant,enough_preposed,adjective
56,10825,endoscopy,too_mod,adjective
57,10583,pernickety,stranding,adjective
58,3969,beforehand,attributive,preposition
59,4441,herefrom,too_mod,preposition
60,1337,one,ly_adverb_base,determinative
61,7855,old-fashioned,np_complement,adjective
62,5962,outward,predicative_be,preposition
63,6231,favourite,partitive_of,adjective
64,10713,newish,attributive,adjective
65,10246,centrist,fronting_pp,adjective
66,986,least,comparative_more,determinative
67,5281,downhill,too_mod,preposition
68,11529,remain,attributive,blind
69,5045,here,enough_postposed,preposition
70,3899,then,postpositive,preposition
71,9639,reluctant,partitive_of,adjective
72,3411,excluding,inflectional_comparison,preposition
73,8997,crippling,coordination_with_adj,adjective
74,8769,anglo-saxon,attributive,adjective
75,8068,commercial,right_mod,adjective
76,2380,above,right_mod,preposition
77,7254,long,enough_preposed,adjective
78,2150,at,fused_head,preposition
79,9219,acclaimed,inflectional_comparison,adjective
80,2273,with,ly_adverb_base,preposition
81,3802,seeing,predicative_be,preposition
82,11113,preconceived,too_mod,adjective
83,11234,weepy,comparative_more,adjective
84,9225,acclaimed,attributive,adjective
85,10645,kickable,determiner_function,adjective
86,5469,upstairs,coordination_with_adj,preposition
87,6961,double,too_mod,adjective
88,1013,many,enough_postposed,determinative
89,7987,significant,seem_complement,adjective
90,12263,griffin,stranding,blind
91,11124,preconceived,predeterminer_position,adjective
92,6847,sorry,np_complement,adjective
93,856,everything,un_prefix,determinative
94,26,near,comparative_more,boundary
95,6066,southward,ness_nominalization,preposition
96,12110,comedy,fused_head,blind
97,8252,splendid,become_complement,adjective
98,12685,greatly,determiner_function,blind
99,11701,rap,determiner_function,blind
100,666,anywhere,ness_nominalization,determinative
101,12325,wibbly,determiner_function,blind
102,2478,along,enough_preposed,preposition
103,6596,old,become_complement,adjective
104,9725,breathless,enough_postposed,adjective
105,8475,lean,inflectional_comparison,adjective
106,12483,life,inflectional_comparison,blind
107,10416,unfavourable,very_mod,adjective
108,9351,obscene,partitive_of,adjective
109,9914,bravest,comparative_more,adjective
110,8865,unofficial,attributive,adjective
111,11486,celebrating,fused_head,blind
112,2111,million,stranding,determinative
113,3522,owing,ness_nominalization,preposition
114,753,either,attributive,determinative
115,2882,off,comparative_more,preposition
116,9516,high-profile,predeterminer_position,adjective
117,10269,directorial,coordination_with_adj,adjective
118,9066,pygmy,ness_nominalization,adjective
119,5628,overland,predeterminer_position,preposition
120,12386,channel,comparative_more,blind
121,12340,organise,right_mod,blind
122,4649,therefrom,ly_adverb_base,preposition
123,1287,nothing,partitive_of,determinative
124,4367,home,stranding,preposition
125,6605,special,enough_postposed,adjective
126,1570,something,predicative_be,determinative
127,1414,once,fronting_pp,determinative
128,490,a little,predicative_be,determinative
129,2886,off,enough_preposed,preposition
130,2773,down,determiner_function,preposition
131,12333,wibbly,coordination_with_adj,blind
132,10632,kickable,very_mod,adjective
133,1482,several,ness_nominalization,determinative
134,11358,kurdish,enough_preposed,adjective
135,7108,big,right_mod,adjective
136,1195,no,seem_complement,determinative
137,6248,serious,gerund_gap_complement,adjective
138,1054,many a,fronting_pp,determinative
139,4570,herewith,predicative_be,preposition
140,2047,seventy,np_complement,determinative
141,7115,big,postpositive,adjective
142,10807,mechanistic,np_complement,adjective
143,4641,therefrom,attributive,preposition
144,2255,upon,stranding,preposition
145,10352,spastic,gerund_gap_complement,adjective
146,6412,small,right_mod,adjective
147,7846,homeless,fronting_pp,adjective
148,440,a few,gerund_gap_complement,determinative
149,1933,whichever,determiner_function,determinative
150,10589,banal,enough_postposed,adjective
151,2596,behind,right_mod,preposition
152,1248,no one,very_mod,determinative
153,6493,fair,determiner_function,adjective
154,7915,social,seem_complement,adjective
155,2086,hundred,fronting_pp,determinative
156,4979,hereabouts,postpositive,preposition
157,3518,owing,fused_head,preposition
158,2839,inside,np_complement,preposition
159,260,less,become_complement,boundary
160,11880,lives,very_mod,blind
161,10608,overspent,very_mod,adjective
162,930,fewer,ness_nominalization,determinative
163,4419,hereby,inflectional_comparison,preposition
164,1760,the,gerund_gap_complement,determinative
165,12284,toad,become_complement,blind
166,11455,reported,np_complement,blind
167,10279,fossilised,np_complement,adjective
168,11818,choo,predicative_be,blind
169,3951,afterwards,partitive_of,preposition
170,2996,over,become_complement,preposition
171,10836,endoscopy,predeterminer_position,adjective
172,9042,pressured,ness_nominalization,adjective
173,11817,choo,attributive,blind
174,10691,disloyal,postpositive,adjective
175,4096,adrift,un_prefix,preposition
176,6522,interesting,ness_nominalization,adjective
177,301,such,determiner_function,boundary
178,7482,curious,ness_nominalization,adjective
179,5379,downwind,inflectional_comparison,preposition
180,9129,daring,attributive,adjective
181,8464,democratic,un_prefix,adjective
182,11957,kyle,enough_postposed,blind
183,1948,zero,right_mod,determinative
184,2432,after,gerund_gap_complement,preposition
185,6483,fair,inflectional_comparison,adjective
186,7177,correct,too_mod,adjective
187,7544,multiple,gerund_gap_complement,adjective
188,3261,without,coordination_with_adj,preposition
189,6519,interesting,partitive_of,adjective
190,4238,aside,fused_head,preposition
191,8258,rental,comparative_more,adjective
192,10025,showy,ly_adverb_base,adjective
193,10403,czechoslovakian,postpositive,adjective
194,2954,outside,comparative_more,preposition
195,10036,misguided,right_mod,adjective
196,316,own,right_mod,boundary
197,1943,whichever,stranding,determinative
198,10397,czechoslovakian,enough_postposed,adjective
199,5750,downward,fused_head,preposition
200,12004,hunting,right_mod,blind
201,4383,together,partitive_of,preposition
202,1370,three,comparative_more,determinative
203,11465,reported,ly_adverb_base,blind
204,2724,beyond,predeterminer_position,preposition
205,1303,nowhere,np_complement,determinative
206,6310,second,fronting_pp,adjective
207,12512,approve,gerund_gap_complement,blind
208,2579,before,postpositive,preposition
209,11871,taliban,partitive_of,blind
210,9586,prosperous,predicative_be,adjective
211,5944,onward,un_prefix,preposition
212,8632,purple,un_prefix,adjective
213,4313,back,ly_adverb_base,preposition
214,11012,southwesterly,become_complement,adjective
215,2468,against,become_complement,preposition
216,12783,frederick,partitive_of,blind
217,5997,rightward,coordination_with_adj,preposition
218,828,everyone,predeterminer_position,determinative
219,9667,diabolical,seem_complement,adjective
220,8831,tentative,stranding,adjective
221,7700,intense,become_complement,adjective
222,8759,retail,stranding,adjective
223,5998,rightward,fronting_pp,preposition
224,9077,rollercoaster,enough_postposed,adjective
225,307,such,seem_complement,boundary
226,2630,below,fused_head,preposition
227,11965,kyle,determiner_function,blind
228,12796,burned,right_mod,blind
229,10829,endoscopy,enough_postposed,adjective
230,8702,awesome,fused_head,adjective
231,6245,serious,enough_postposed,adjective
232,10430,unfavourable,fused_head,adjective
233,1901,which,enough_postposed,determinative
234,10181,pumpy,enough_postposed,adjective
235,8122,coastal,predicative_be,adjective
236,4164,aloft,predeterminer_position,preposition
237,3553,regarding,too_mod,preposition
238,11419,john,seem_complement,blind
239,12684,greatly,predeterminer_position,blind
240,4467,herein,inflectional_comparison,preposition
241,12118,comedy,fronting_pp,blind
242,5015,thereabouts,stranding,preposition
243,9095,rollercoaster,stranding,adjective
244,11717,civil,enough_postposed,blind
245,6618,special,ness_nominalization,adjective
246,5153,thence,ly_adverb_base,preposition
247,4189,apart,determiner_function,preposition
248,10584,banal,very_mod,adjective
249,5192,east,gerund_gap_complement,preposition
250,7349,extra,enough_postposed,adjective
251,2745,by,attributive,preposition
252,7853,old-fashioned,enough_postposed,adjective
253,1423,twice,np_complement,determinative
254,4762,therewith,predicative_be,preposition
255,7744,invisible,un_prefix,adjective
256,10500,flippy,predeterminer_position,adjective
257,11922,uncovered,ness_nominalization,blind
258,3023,past,stranding,preposition
259,9413,infested,enough_postposed,adjective
260,3148,under,right_mod,preposition
261,6275,safe,postpositive,adjective
262,6979,double,seem_complement,adjective
263,3177,underneath,attributive,preposition
264,12160,auctioneer,un_prefix,blind
265,3607,saving,np_complement,preposition
266,11360,kurdish,gerund_gap_complement,adjective
267,5457,upstairs,attributive,preposition
268,7442,gorgeous,comparative_more,adjective
269,10820,mechanistic,become_complement,adjective
270,6182,ready,fused_head,adjective
271,4790,whereat,fused_head,preposition
272,4688,thereof,gerund_gap_complement,preposition
273,11348,genial,become_complement,adjective
274,5618,overland,comparative_more,preposition
275,5120,hence,gerund_gap_complement,preposition
276,2072,hundred,gerund_gap_complement,determinative
277,8461,democratic,determiner_function,adjective
278,1821,we,coordination_with_adj,determinative
279,576,anybody,very_mod,determinative
280,11947,describes,seem_complement,blind
281,6193,same,too_mod,adjective
282,12446,correspondent,fused_head,blind
283,9585,prosperous,attributive,adjective
284,9427,infested,seem_complement,adjective
285,4324,forth,right_mod,preposition
286,8377,alien,too_mod,adjective
287,2688,between,very_mod,preposition
288,2342,aboard,fused_head,preposition
289,6917,bad,enough_postposed,adjective
290,3866,now,comparative_more,preposition
291,6311,second,stranding,adjective
292,9327,sedative,partitive_of,adjective
293,641,anything,ly_adverb_base,determinative
294,12043,blair,seem_complement,blind
295,5648,overseas,gerund_gap_complement,preposition
296,7916,social,become_complement,adjective
297,11334,genial,enough_preposed,adjective
298,11068,suggestive,right_mod,adjective
299,789,every,coordination_with_adj,determinative
300,3065,since,ly_adverb_base,preposition
301,5252,south,become_complement,preposition
302,8610,delightful,ness_nominalization,adjective
303,3020,past,become_complement,preposition
304,11577,guns,attributive,blind
305,3544,pertaining,un_prefix,preposition
306,8450,democratic,comparative_more,adjective
307,3295,allowing,np_complement,preposition
308,12093,pitched,coordination_with_adj,blind
309,8323,iconic,seem_complement,adjective
310,5593,overhead,too_mod,preposition
311,2151,at,partitive_of,preposition
312,1896,which,very_mod,determinative
313,3096,throughout,very_mod,preposition
314,9316,sedative,right_mod,adjective
315,9891,fleeting,inflectional_comparison,adjective
316,9170,disused,comparative_more,adjective
317,12670,tribe,fronting_pp,blind
318,4276,aft,right_mod,preposition
319,4740,thereto,predeterminer_position,preposition
320,7941,bright,coordination_with_adj,adjective
321,10270,directorial,fronting_pp,adjective
322,6075,upward,inflectional_comparison,preposition
323,10561,pernickety,too_mod,adjective
324,6593,old,ly_adverb_base,adjective
325,12716,curve,become_complement,blind
326,3008,past,gerund_gap_complement,preposition
327,10605,banal,coordination_with_adj,adjective
328,7381,great,determiner_function,adjective
329,60,like,predeterminer_position,boundary
330,9096,riddled,very_mod,adjective
331,487,a little,np_complement,determinative
332,6920,bad,gerund_gap_complement,adjective
333,8355,successful,inflectional_comparison,adjective
334,7845,homeless,coordination_with_adj,adjective
335,10106,groggy,comparative_more,adjective
336,9858,stern,ness_nominalization,adjective
337,9103,riddled,np_complement,adjective
338,12600,definitely,very_mod,blind
339,11640,oyster,very_mod,blind
340,5621,overland,enough_postposed,preposition
341,3022,past,fronting_pp,preposition
342,7128,busy,very_mod,adjective
343,9310,neolithic,fronting_pp,adjective
344,6524,interesting,become_complement,adjective
345,12485,life,enough_postposed,blind
346,2360,about,gerund_gap_complement,preposition
347,889,few,too_mod,determinative
348,4919,whereon,stranding,preposition
349,6683,wrong,postpositive,adjective
350,5936,onward,gerund_gap_complement,preposition
351,3741,granted,coordination_with_adj,preposition
352,3684,given,predeterminer_position,preposition
353,4251,away,inflectional_comparison,preposition
354,9447,inefficient,partitive_of,adjective
355,5899,leftward,seem_complement,preposition
356,7316,difficult,become_complement,adjective
357,7747,invisible,seem_complement,adjective
358,12583,lasted,np_complement,blind
359,7993,impressed,too_mod,adjective
360,8781,anglo-saxon,coordination_with_adj,adjective
361,190,asleep,fronting_pp,boundary
362,9424,infested,un_prefix,adjective
363,1797,us,coordination_with_adj,determinative
364,8733,closer,coordination_with_adj,adjective
365,12174,exploring,enough_preposed,blind
366,750,either,enough_preposed,determinative
367,1160,next,gerund_gap_complement,determinative
368,11897,lives,ly_adverb_base,blind
369,8684,relevant,become_complement,adjective
370,4788,whereat,predeterminer_position,preposition
371,7772,ideal,become_complement,adjective
372,1708,this,right_mod,determinative
373,9102,riddled,enough_preposed,adjective
374,3787,providing,seem_complement,preposition
375,9035,pressured,postpositive,adjective
376,8064,commercial,very_mod,adjective
377,11734,civil,fronting_pp,blind
378,2076,hundred,predeterminer_position,determinative
379,6101,westward,enough_postposed,preposition
380,7857,old-fashioned,attributive,adjective
381,9402,one-and-a-half,ness_nominalization,adjective
382,10571,pernickety,postpositive,adjective
383,252,less,predeterminer_position,boundary
384,12238,protecting,fronting_pp,blind
385,2240,upon,gerund_gap_complement,preposition
386,11660,oyster,become_complement,blind
387,3231,within,partitive_of,preposition
388,1050,many a,ness_nominalization,determinative
389,7239,national,partitive_of,adjective
390,9321,sedative,attributive,adjective
391,11797,grants,determiner_function,blind
392,11166,febrile,enough_preposed,adjective
393,9617,flappy,ly_adverb_base,adjective
394,7048,tough,un_prefix,adjective
395,1135,last,np_complement,determinative
396,10888,barnstable,un_prefix,adjective
397,2116,of,right_mod,preposition
398,8462,democratic,fused_head,adjective
399,1882,whatever,predicative_be,determinative
400,12308,sit,become_complement,blind
401,10456,chauvinistic,un_prefix,adjective
402,7152,open,very_mod,adjective
403,3673,given,too_mod,preposition
404,6494,fair,fused_head,adjective
405,5783,eastward,stranding,preposition
406,5218,north,predicative_be,preposition
407,8920,overdue,un_prefix,adjective
408,11542,remain,fronting_pp,blind
409,2486,along,fused_head,preposition
410,11848,gilt,un_prefix,blind
411,6865,lovely,too_mod,adjective
412,5019,whereabouts,inflectional_comparison,preposition
413,8880,pedestrian,very_mod,adjective
414,11001,southwesterly,attributive,adjective
415,5109,where,coordination_with_adj,preposition
416,7411,huge,seem_complement,adjective
417,12080,pitched,gerund_gap_complement,blind
418,6110,westward,fused_head,preposition
419,625,anything,too_mod,determinative
420,6178,ready,predicative_be,adjective
421,4607,thereat,stranding,preposition
422,406,a,fronting_pp,determinative
423,12225,protecting,attributive,blind
424,9871,uncommon,np_complement,adjective
425,867,everywhere,inflectional_comparison,determinative
426,2301,as,coordination_with_adj,preposition
427,8512,classic,un_prefix,adjective
428,10556,delirious,become_complement,adjective
429,22,worth,fronting_pp,boundary
430,5863,inward,np_complement,preposition
431,11634,theme,ness_nominalization,blind
432,11995,otters,seem_complement,blind
433,12065,talked,ly_adverb_base,blind
434,3076,through,right_mod,preposition
435,6277,safe,determiner_function,adjective
436,9724,breathless,right_mod,adjective
437,144,ablaze,very_mod,boundary
438,5908,northward,right_mod,preposition
439,2440,after,un_prefix,preposition
440,4316,back,become_complement,preposition
441,869,everywhere,enough_postposed,determinative
442,10861,boggy,determiner_function,adjective
443,1831,you,np_complement,determinative
444,11804,grants,become_complement,blind
445,6251,serious,postpositive,adjective
446,9137,daring,ly_adverb_base,adjective
447,2041,seventy,too_mod,determinative
448,11731,civil,seem_complement,blind
449,7945,spinning,too_mod,adjective
450,8571,historic,inflectional_comparison,adjective
451,12465,fifa,attributive,blind
452,1250,no one,comparative_more,determinative
453,2209,onto,too_mod,preposition
454,8651,comfortable,postpositive,adjective
455,3924,when,predeterminer_position,preposition
456,11297,ploppy,ly_adverb_base,adjective
457,6529,possible,too_mod,adjective
458,2298,as,ness_nominalization,preposition
459,6869,lovely,enough_postposed,adjective
460,3768,providing,very_mod,preposition
461,2444,after,become_complement,preposition
462,7590,efficient,enough_preposed,adjective
463,3552,regarding,very_mod,preposition
464,470,a great many,fused_head,determinative
465,12671,tribe,stranding,blind
466,3410,excluding,comparative_more,preposition
467,2634,below,ness_nominalization,preposition
468,9052,pygmy,right_mod,adjective
469,11825,choo,ly_adverb_base,blind
470,7376,great,gerund_gap_complement,adjective
471,3717,gone,coordination_with_adj,preposition
472,5030,whereabouts,fused_head,preposition
473,10281,fossilised,attributive,adjective
474,752,either,gerund_gap_complement,determinative
475,2508,alongside,predeterminer_position,preposition
476,2435,after,postpositive,preposition
477,1571,something,postpositive,determinative
478,2614,behind,fronting_pp,preposition
479,8338,irish,predicative_be,adjective
480,2156,at,become_complement,preposition
481,1053,many a,coordination_with_adj,determinative
482,4392,hereat,very_mod,preposition
483,12429,silly,coordination_with_adj,blind
484,11967,kyle,partitive_of,blind
485,11939,describes,postpositive,blind
486,6122,general,comparative_more,adjective
487,7999,impressed,np_complement,adjective
488,2939,opposite,postpositive,preposition
489,7215,brilliant,partitive_of,adjective
490,11996,otters,become_complement,blind
491,11537,remain,ly_adverb_base,blind
492,6735,short,partitive_of,adjective
493,11678,hayes,fused_head,blind
494,12399,channel,partitive_of,blind
495,10346,spastic,comparative_more,adjective
496,5541,indoors,coordination_with_adj,preposition
497,7371,great,inflectional_comparison,adjective
498,6566,beautiful,fused_head,adjective
499,9996,feeble,predeterminer_position,adjective
500,12766,cornish,fronting_pp,blind
501,10935,nonsensical,partitive_of,adjective
502,10837,endoscopy,determiner_function,adjective
503,10135,untypical,np_complement,adjective
504,2896,off,un_prefix,preposition
505,749,either,enough_postposed,determinative
506,12775,frederick,np_complement,blind
507,4681,thereof,too_mod,preposition
508,6023,seaward,stranding,preposition
509,9899,fleeting,postpositive,adjective
510,10433,unfavourable,ly_adverb_base,adjective
511,8201,blank,ly_adverb_base,adjective
512,10582,pernickety,fronting_pp,adjective
513,10731,improvisational,inflectional_comparison,adjective
514,9432,inefficient,very_mod,adjective
515,5753,downward,ly_adverb_base,preposition
516,4578,herewith,ness_nominalization,preposition
517,10482,backhanded,ness_nominalization,adjective
518,6271,safe,np_complement,adjective
519,5071,there,np_complement,preposition
520,11459,reported,postpositive,blind
521,570,any,ness_nominalization,determinative
522,1861,what,determiner_function,determinative
523,1491,some,inflectional_comparison,determinative
524,2714,beyond,comparative_more,preposition
525,521,all,ly_adverb_base,determinative
526,10327,seditious,np_complement,adjective
527,1213,none,determiner_function,determinative
528,9148,savvy,right_mod,adjective
529,2836,inside,right_mod,preposition
530,7233,national,attributive,adjective
531,8977,crippling,too_mod,adjective
532,5004,thereabouts,predeterminer_position,preposition
533,2495,along,stranding,preposition
534,4728,thereto,very_mod,preposition
535,10811,mechanistic,postpositive,adjective
536,12584,lasted,gerund_gap_complement,blind
537,7242,national,ness_nominalization,adjective
538,5350,downstairs,fronting_pp,preposition
539,9808,four-and-a-half,un_prefix,adjective
540,4593,thereat,attributive,preposition
541,5096,where,gerund_gap_complement,preposition
542,7568,unexpected,gerund_gap_complement,adjective
543,112,fun,un_prefix,boundary
544,1200,none,very_mod,determinative
545,5468,upstairs,become_complement,preposition
546,9780,stinging,predeterminer_position,adjective
547,8978,crippling,comparative_more,adjective
548,7927,bright,np_complement,adjective
549,8489,lean,ly_adverb_base,adjective
550,9728,breathless,gerund_gap_complement,adjective
551,3264,according,very_mod,preposition
552,841,everything,too_mod,determinative
553,8587,historic,seem_complement,adjective
554,11738,thrilling,comparative_more,blind
555,1602,somewhere,ness_nominalization,determinative
556,293,such,enough_postposed,boundary
557,3438,failing,enough_preposed,preposition
558,9916,bravest,right_mod,adjective
559,5050,here,predicative_be,preposition
560,2254,upon,fronting_pp,preposition
561,2277,with,coordination_with_adj,preposition
562,11399,regimented,stranding,adjective
563,898,few,predicative_be,determinative
564,8136,proper,very_mod,adjective
565,9084,rollercoaster,predeterminer_position,adjective
566,5773,eastward,determiner_function,preposition
567,12725,stuck,enough_postposed,blind
568,10394,czechoslovakian,comparative_more,adjective
569,9895,fleeting,np_complement,adjective
570,11321,undefeated,ly_adverb_base,adjective
571,2338,aboard,predicative_be,preposition
572,2592,behind,very_mod,preposition
573,3588,respecting,predeterminer_position,preposition
574,7866,old-fashioned,ness_nominalization,adjective
575,6806,nice,fused_head,adjective
576,4214,ashore,fused_head,preposition
577,4106,aground,comparative_more,preposition
578,7277,high,enough_postposed,adjective
579,7388,great,become_complement,adjective
580,12734,stuck,fused_head,blind
581,9869,uncommon,enough_postposed,adjective
582,4452,herefrom,predeterminer_position,preposition
583,9945,hilarious,attributive,adjective
584,881,everywhere,ly_adverb_base,determinative
585,7034,tough,comparative_more,adjective
586,9226,acclaimed,predicative_be,adjective
587,5088,where,very_mod,preposition
588,4045,abroad,determiner_function,preposition
589,1190,no,fused_head,determinative
590,8128,coastal,un_prefix,adjective
591,1661,that,enough_postposed,determinative
592,4686,thereof,enough_preposed,preposition
593,5891,leftward,postpositive,preposition
594,6518,interesting,fused_head,adjective
595,7859,old-fashioned,postpositive,adjective
596,481,a little,too_mod,determinative
597,4884,whereof,predeterminer_position,preposition
598,11064,suggestive,very_mod,adjective
599,7068,late,predeterminer_position,adjective
600,10059,convincing,inflectional_comparison,adjective
